other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
"Balcony, Deck, Verandah, Terrace/paved, Indoor entertainment area, Outdoor entertainment area",https://www.realestate.com.au/floorplan_new.ds?id=415139847&theme=rea.rent,https://www.realestate.com.au/property-house-qld-corinda-415139847,"Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",208 Cliveden Avenue,,4075,"[415139847, 415139847]","High on the Hill, Fabulous Views, Recently Renovated Character Home, Massive Front Veranda, Perfect Entertainer.",House,Beautifully Renovated Character Home,"$3,400",5,4,"[datetime.date(2018, 9, 26)]",Moira Dixon,"<span class=""price""></span>",Mon 05-Nov-18,3,Corinda,Walsh and Dixon Real Estate - Graceville,"Ensuite:,2,Living Areas:,2,Study,Dishwasher,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ceiling Fans",Not provided,https://www.realestate.com.au/property-house-qld-inala-424745322,"Garage Spaces:,2,Open Car Spaces:,2","<span class=""rate""></span>",4 Cygnus Street,Pet Friendly,4077,"[424745322, 424745322]",Looking for the perfect home that has space for the whole family?  Or are you looking for the perfect teenagers retreat for those that aren't ready to leave the nest? Look no further because this property has it all!,House,Room for the whole EXTENDED family and PET FREINDLY!,"$2,480",6,4,"[datetime.date(2018, 9, 26)]",Courtney Pearson,"<span class=""price""></span>",Available Now,3,Inala,One Agency - Forest Lake,"Toilets:,3"
,http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=metbne01&uniqueID=69314&source=REA,https://www.realestate.com.au/property-unit-qld-sherwood-424582386,"Garage Spaces:,1","<span class=""rate""></span>",1/12 Skew Street,,4075,"[424582386, 424582386]","This light & airy fully one-bedroom unit is now ready to call home. Offering an air conditioned open plan living area providing easy access to the kitchen and meals area, well-sized bedroom and spacious ensuite bathroom. The bedroom features a built in, brand new carpet and ceiling fan, with access to the ensuite bathroom. For added security and privacy the unit is fitted with security screens and brand new roller blinds throughout.",Unit,Recently Updated One Bedroom Apartment  Heart of Sherwood!,"$1,080",1,1,"[datetime.date(2018, 9, 26)]",Lauren MacDonald,"<span class=""price""></span>",Available Now,1,Sherwood,Image Property - FORTITUDE VALLEY,Air Conditioning
"Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-house-qld-sinnamon+park-419217530,"Garage Spaces:,1","<span class=""rate""></span>",21 Dove Tree Cres,,4073,"[419217530, 419217530]",PERFECT FOR YOU!,House,3 Bedroom home,"$1,640",3,1,"[datetime.date(2018, 9, 26)]",Karen Forrester,"<span class=""price""></span>",Thu 04-Oct-18,1,Sinnamon Park,K & B Property Management Solutions - RACEVIEW,"Toilets:,1,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-sherwood-424713046,"Garage Spaces:,2","<span class=""rate""></span>",18 Dudley Street,,4075,"[424713046, 424713046]","Positioned within Sherwood's prestigious 'high side', along one of the suburb's most desirable and very quiet streets, this immaculate and well-regarded home is currently offered for lease, delivering a strong focus on charm, relaxed entertaining, extensive privacy and modern flair.",House,STUNNING HOME IN PREMIUM SHERWOOD HIGHSIDE LOCATION,,4,2,"[datetime.date(2018, 9, 26)]",Miles Johnston,"<span class=""price""></span>",Available Now,2,Sherwood,JOHNSTON DIXON - Brisbane,
,Not provided,https://www.realestate.com.au/property-house-qld-chelmer-424679134,"Carport Spaces:,2","<span class=""rate""></span>",120 Queenscroft Street,,4068,"[424679134, 424679134]","This absolute riverfront local landmark graces a grand 1,812m2 of north-facing land with a wide 18 metre frontage to the road and river.",House,RIVER WONDERLAND,,4,2,"[datetime.date(2018, 9, 26)]",Miles Johnston,"<span class=""price""></span>",Mon 08-Oct-18,2,Chelmer,JOHNSTON DIXON - Brisbane,
,Not provided,https://www.realestate.com.au/property-house-qld-jindalee-424708558,"Secure Parking,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",20 Bareena Street,Pet Friendly,4074,"[424708558, 424708558]",** ARRANGE AN INSPECTION NOW **,House,Great Family Home with Entertainers Deck and Swimming Pool,"$2,360",5,2,"[datetime.date(2018, 9, 26)]","Chase Bursnall,Prudence Lam","<span class=""price""></span>",Sat 29-Sep-18,2,Jindalee,Rent Star - Brisbane,"Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-house-qld-jindalee-420305282,"Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",6 Cooradilla Street,,4074,"[420305282, 420305282]",This brick highset home in Jindalee would suit a large family or dual living.,House,Large Highset home in Jindalee!,"$2,020",5,2,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Mon 03-Dec-18,1,Jindalee,Ray White - Middle Park,"Toilets:,1,Air Conditioning"
Property Type: House Garaging / carparking: Single lock-up,Not provided,https://www.realestate.com.au/property-house-qld-oxley-424584770,"Garage Spaces:,1,Open Car Spaces:,2,Fully Fenced","<span class=""rate""></span>",6 Moffat Street,Pet Friendly,4075,"[424584770, 424584770]","This lovely home, elevated at the top of Moffat Street is awesome value. Boasting polished timber floors, modern kitchen and ceiling fans and screens throughout, this wonderful property will no doubt be snapped up quickly! If you think it already sounds perfect, just wait until you see the huge storage area and fully-fenced pet and kid friendly yard which has further room to park trailers or vehicles..",House,Spacious Pet-Friendly Home Within Walking Distance to Train,"$1,480",3,3,"[datetime.date(2018, 9, 26)]",Jess Kindt,"<span class=""price""></span>",Sat 29-Sep-18,1,Oxley,Harcourts Marketplace - OXLEY,
Property Type: Apartment Garaging / carparking: Closed carport,Not provided,https://www.realestate.com.au/property-apartment-qld-oxley-424726918,"Remote Garage,Garage Spaces:,1,Fully Fenced","<span class=""rate""></span>",5/100 Ellen Street,Pet Friendly,4075,"[424726918, 424726918]","Be the very first to enjoy this sparkling, brand new apartment located in the heart of the Oxley retail hub. ",Apartment,Under Application,"$1,600",2,1,"[datetime.date(2018, 9, 26)]",Jess Kindt,"<span class=""price""></span>",Wed 03-Oct-18,2,Oxley,Harcourts Marketplace - OXLEY,"Ensuite:,1"
