bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address
[5],$550pw 6 Month Lease,Great Family Home with Entertainers Deck and Swimming Pool,https://www.realestate.com.au/property-house-qld-jindalee-424708558,Sat 29-Sep-18,,"<span class=""price""></span>","Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","$2,360",Jindalee,"Chase Bursnall,Prudence Lam",Rent Star - Brisbane,[2],House,Pet Friendly,** ARRANGE AN INSPECTION NOW **,"$550,$550,",Not provided,[424708558],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",20 Bareena Street
[4],$950 per week,STUNNING HOME IN PREMIUM SHERWOOD HIGHSIDE LOCATION,https://www.realestate.com.au/property-house-qld-sherwood-424713046,Available Now,,"<span class=""price""></span>",,[2],"Garage Spaces:,2",,Sherwood,Miles Johnston,JOHNSTON DIXON - Brisbane,[2],House,,"Positioned within Sherwood's prestigious 'high side', along one of the suburb's most desirable and very quiet streets, this immaculate and well-regarded home is currently offered for lease, delivering a strong focus on charm, relaxed entertaining, extensive privacy and modern flair.","$950,$950,",Not provided,[424713046],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",18 Dudley Street
[5],$505 per week,Large Highset home in Jindalee!,https://www.realestate.com.au/property-house-qld-jindalee-420305282,Mon 03-Dec-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Toilets:,1,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony","$2,020",Jindalee,Jacqui Price,Ray White - Middle Park,[1],House,,This brick highset home in Jindalee would suit a large family or dual living.,"$505,$505,",Not provided,[420305282],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",6 Cooradilla Street
[3],$325 p.w.,Under Application,https://www.realestate.com.au/property-house-qld-darra-424727482,Available Now,Property Type: House Garaging / carparking: Open carport,"<span class=""price""></span>","Built-in Wardrobes,Dishwasher,Air Conditioning",[3],"Carport Spaces:,1,Open Car Spaces:,2,Fully Fenced","$1,300",Darra,Jess Kindt,Harcourts Marketplace - OXLEY,[1],House,Pet Friendly,"Looking for a great place for the kids and dogs to have room to run around? This lovely home is for you. Boasting timber floors throughout, screens, air-conditioning in master bedroom and shed for additional storage, this neat and tidy home is a great property to secure!","$325,$325,",Not provided,[424727482],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",24 Kokoda Street
[3],$410 per week,3 Bedroom home,https://www.realestate.com.au/property-house-qld-sinnamon+park-419217530,Thu 04-Oct-18,"Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Toilets:,1,Air Conditioning",[1],"Garage Spaces:,1","$1,640",Sinnamon Park,Karen Forrester,K & B Property Management Solutions - RACEVIEW,[1],House,,PERFECT FOR YOU!,"$410,$410,",Not provided,[419217530],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",21 Dove Tree Cres
[4],$700 per week,Spectacular family home in desirable location!,https://www.realestate.com.au/property-house-qld-corinda-424619930,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,3,Air Conditioning",[2],"Garage Spaces:,2","$2,800",Corinda,Brandon Collinson,Ray White - Toowong,[2],House,,"The grand proportions of this newly constructed single level home are evident from your first step into the welcoming foyer, ensuring space will never be lacking with ample room for a large family or frequent entertainers. Offering three separate entertaining areas and four generous bedrooms spread out over a spacious and unique floor plan, this home exceeds all expectations and is sure to impress. Situated in a sought after, family friendly street that enjoys easy access to parklands, playgrounds, dog park and walking tracks. ","$700,$700,",https://www.realestate.com.au/floorplan_new.ds?id=424619930&theme=rea.rent,[424619930],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",128 Lynne Grove Avenue
[2],$450 per week,"MODERN, SPACIOUS, STUNNING CITY VIEWS!",https://www.realestate.com.au/property-apartment-qld-sherwood-424734602,Wed 31-Oct-18,,"<span class=""price""></span>","Ensuite:,1,Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Remote Garage,Secure Parking,Garage Spaces:,2,Balcony","$1,800",Sherwood,Tahlia Halstead,Image Property - ASPLEY,[2],Apartment,Pet Friendly,"This near new, spacious apartment is sure to impress! Finished to the highest standard with a modern layout, you won't want to miss the chance to inspect. This boutique complex is located only a 700m walk to the Sherwood train station, allowing you to take full advantage of the public transport facilities. ","$450,$450,",http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=ipm03&uniqueID=43117.1&source=REA,[424734602],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",403/47 Hood Street
[2],$440 per week,Modern Large bedroom in Oxley,https://www.realestate.com.au/property-unit-qld-oxley-424741470,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Toilets:,2,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1","$1,760",Oxley,Leasing Oxley,Tessa Residential New Farm - NEW FARM,[2],Unit,,"Set on level two of this contemporary block this stylish, modern, fully air conditioned unit has two carpeted double bedrooms with built in robes.","$440,$440,",Not provided,[424741470],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",209/61 Ellen Street
[3],$350 per week,Cosy three bedroom townhouse,https://www.realestate.com.au/property-unit-qld-richlands-424744886,Available Now,,"<span class=""price""></span>",Air Conditioning,[1],"Garage Spaces:,1","$1,400",Richlands,Sharon Nicholson,McGrath - Springfield,[2],Unit,Pet Friendly,"This property is within walking distance to the local McDonalds, Woolworths shopping complex and short drive to the Richlands train station. ","$350,$350,",Not provided,[424744886],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",1/11 Cattiger Street
[3],$395 per week,Spacious Lowset,https://www.realestate.com.au/property-house-qld-riverhills-424743510,Fri 28-Sep-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1",[2],"Carport Spaces:,2","$1,580",Riverhills,Karyl Davies,Ray White - Middle Park,[1],House,,This lowset home has loads to offer a family looking for somewhere to call home!,"$395,$395,",Not provided,[424743510],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",5 Miena Close
