title,price,url,indoor_feature,bed,description,car,median_rent,other_feature,post_code,property_type,property_id,bond,rental_yield,crawl_date,price_des,street_address,agency,bathroom,suburb,floorplan,agent,date_available,outdoor_feature
"LOVELY THREE BEDROOM TOWNHOUSE, ENSUITE, A/CON & POOL","$395,$395,,$420,$420,",https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-423975866,"Intercom,Air Conditioning",[3],LOVELY TOWNHOUSE RENTAL PROPERTY ,[1],"<span class=""price""></span>",,4073,Townhouse,[423975866],"$1,620","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",From $395 to $420 per week,,THEONSITEMANAGER - Hendra,[2],Seventeen Mile Rocks,Not provided,Maureen Cutforth,Thu 04-Oct-18,"Garage Spaces:,1,Balcony,Swimming Pool - Inground"
RIVER WONDERLAND,"$840,$840,",https://www.realestate.com.au/property-house-qld-chelmer-424679134,,[4],"This absolute riverfront local landmark graces a grand 1,812m2 of north-facing land with a wide 18 metre frontage to the road and river.",[2],"<span class=""price""></span>",,4068,House,[424679134],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$840 per week,120 Queenscroft Street,JOHNSTON DIXON - Brisbane,[2],Chelmer,Not provided,Miles Johnston,Mon 08-Oct-18,"Carport Spaces:,2"
23/15 James Edward Street Richlands,"$355,$355,,1,1,",https://www.realestate.com.au/property-townhouse-qld-richlands-424417126,"Ensuite:,1,Toilets:,3",[3],"Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!",[1],"<span class=""price""></span>",,4077,Townhouse,[424417126],"$1,440","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$355/week+1wk Free,23/15 James Edward Street,Australian Property Management Alliance - Mango Hill,[2],Richlands,Not provided,Richlands Rise,Available Now,"Remote Garage,Garage Spaces:,1"
Recently Updated One Bedroom Apartment  Heart of Sherwood!,,https://www.realestate.com.au/property-unit-qld-sherwood-424582386,Air Conditioning,[1],"This light & airy fully one-bedroom unit is now ready to call home. Offering an air conditioned open plan living area providing easy access to the kitchen and meals area, well-sized bedroom and spacious ensuite bathroom. The bedroom features a built in, brand new carpet and ceiling fan, with access to the ensuite bathroom. For added security and privacy the unit is fitted with security screens and brand new roller blinds throughout.",[1],"<span class=""price""></span>",,4075,Unit,[424582386],"$1,080","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",CONTACT AGENT,1/12 Skew Street,Image Property - FORTITUDE VALLEY,[1],Sherwood,http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=metbne01&uniqueID=69314&source=REA,Lauren MacDonald,Available Now,"Garage Spaces:,1"
Spacious Pet-Friendly Home Within Walking Distance to Train,"$370,$370,",https://www.realestate.com.au/property-house-qld-oxley-424584770,,[3],"This lovely home, elevated at the top of Moffat Street is awesome value. Boasting polished timber floors, modern kitchen and ceiling fans and screens throughout, this wonderful property will no doubt be snapped up quickly! If you think it already sounds perfect, just wait until you see the huge storage area and fully-fenced pet and kid friendly yard which has further room to park trailers or vehicles..",[3],"<span class=""price""></span>",Property Type: House Garaging / carparking: Single lock-up,4075,House,[424584770],"$1,480","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$370 p.w.,6 Moffat Street,Harcourts Marketplace - OXLEY,[1],Oxley,Not provided,Jess Kindt,Sat 29-Sep-18,"Garage Spaces:,1,Open Car Spaces:,2,Fully Fenced"
"QUALITY, SPACE AND GREAT LOCATION","$490,$490,",https://www.realestate.com.au/property-house-qld-richlands-424593150,Floorboards,[4],"If you are looking or a quality home with lots of space in a great location, this one is for you. This home features;",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4077,House,[424593150],"$1,960","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$490 per week,25 Balgowan Street,Specialists in Property - Bellbird Park,[2],Richlands,Not provided,"Ashleah Lucey,Ben Gebbett",Available Now,"Secure Parking,Garage Spaces:,2,Balcony"
3 Bedroom home,"$410,$410,",https://www.realestate.com.au/property-house-qld-sinnamon+park-419217530,"Toilets:,1,Air Conditioning",[3],PERFECT FOR YOU!,[1],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport",4073,House,[419217530],"$1,640","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$410 per week,21 Dove Tree Cres,K & B Property Management Solutions - RACEVIEW,[1],Sinnamon Park,Not provided,Karen Forrester,Thu 04-Oct-18,"Garage Spaces:,1"
STUNNING HOME IN PREMIUM SHERWOOD HIGHSIDE LOCATION,"$950,$950,",https://www.realestate.com.au/property-house-qld-sherwood-424713046,,[4],"Positioned within Sherwood's prestigious 'high side', along one of the suburb's most desirable and very quiet streets, this immaculate and well-regarded home is currently offered for lease, delivering a strong focus on charm, relaxed entertaining, extensive privacy and modern flair.",[2],"<span class=""price""></span>",,4075,House,[424713046],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$950 per week,18 Dudley Street,JOHNSTON DIXON - Brisbane,[2],Sherwood,Not provided,Miles Johnston,Available Now,"Garage Spaces:,2"
Great Family Home with Entertainers Deck and Swimming Pool,"$550,$550,, 6, 6,",https://www.realestate.com.au/property-house-qld-jindalee-424708558,"Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[5],** ARRANGE AN INSPECTION NOW **,[2],"<span class=""price""></span>",,4074,House,[424708558],"$2,360","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$550pw 6 Month Lease,20 Bareena Street,Rent Star - Brisbane,[2],Jindalee,Not provided,"Chase Bursnall,Prudence Lam",Sat 29-Sep-18,"Secure Parking,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground"
Large Highset home in Jindalee!,"$505,$505,",https://www.realestate.com.au/property-house-qld-jindalee-420305282,"Toilets:,1,Air Conditioning",[5],This brick highset home in Jindalee would suit a large family or dual living.,[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",4074,House,[420305282],"$2,020","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$505 per week,6 Cooradilla Street,Ray White - Middle Park,[1],Jindalee,Not provided,Jacqui Price,Mon 03-Dec-18,"Secure Parking,Garage Spaces:,2,Balcony"
